trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1-P23,0,P00017,05:00:00,05:00:10,Tosari,0,0,,,0.000000,0
1-P23,1,G00012,05:03:52,05:04:02,Tosari,0,0,,,804.760404,0
1-P23,2,G00009,05:06:08,05:06:18,Tosari,0,0,,,1263.229479,0
1-P23,3,G00696,05:11:17,05:11:27,Tosari,0,0,,,2343.527144,0
1-P23,4,G00016,05:14:33,05:14:43,Tosari,0,0,,,3017.698441,0
1-P23,5,G00017,05:17:28,05:17:38,Tosari,0,0,,,3614.226018,0
1-P23,6,G00747,05:20:56,05:21:06,Tosari,0,0,,,4330.189676,0
1-P23,7,G00690,05:24:31,05:24:41,Tosari,0,0,,,5070.896521,0
1-P23,8,G00024,05:28:21,05:28:31,Tosari,0,0,,,5866.511862,0
1-P23,9,G00027,05:33:06,05:33:16,Tosari,0,0,,,6862.760616,0
1-P23,10,G00030,05:36:09,05:36:19,Blok M,0,0,,,7490.029015,0
1-P23,11,G00021,05:40:49,05:40:59,Blok M,0,0,,,8465.873014,0
1-P23,12,G00692,05:44:45,05:44:55,Blok M,0,0,,,9283.343976,0
1-P23,13,G00020,05:48:23,05:48:33,Blok M,0,0,,,10036.129980,0
1-P23,14,G00018,05:51:47,05:51:57,Blok M,0,0,,,10736.925130,0
1-P23,15,G00014,05:54:47,05:54:57,Blok M,0,0,,,11351.166910,0
1-P23,16,G00694,05:58:03,05:58:13,Blok M,0,0,,,12024.157550,0
1-P23,17,G00010,06:02:59,06:03:09,Blok M,0,0,,,13059.919110,0
1-P23,18,G00083,06:05:11,06:05:21,Blok M,0,0,,,13503.310870,0
1-P23,19,P00017,06:08:09,06:08:19,Blok M,0,0,,,14111.823810,0
1-P28,0,P00017,05:00:00,05:00:10,Monumen Nasional,0,0,,,0.000000,0
1-P28,1,G00012,05:03:52,05:04:02,Monumen Nasional,0,0,,,803.306181,0
1-P28,2,G00009,05:06:08,05:06:18,Monumen Nasional,0,0,,,1261.775257,0
1-P28,3,G00696,05:11:17,05:11:27,Monumen Nasional,0,0,,,2342.072922,0
1-P28,4,G00016,05:14:33,05:14:43,Monumen Nasional,0,0,,,3016.244219,0
1-P28,5,G00017,05:17:28,05:17:38,Monumen Nasional,0,0,,,3612.771796,0
1-P28,6,G00747,05:20:56,05:21:06,Monumen Nasional,0,0,,,4328.735438,0
1-P28,7,G00690,05:24:31,05:24:41,Monumen Nasional,0,0,,,5068.814189,0
1-P28,8,G00024,05:28:21,05:28:31,Monumen Nasional,0,0,,,5864.429531,0
1-P28,9,G00027,05:33:06,05:33:16,Monumen Nasional,0,0,,,6860.678284,0
1-P28,10,G00034,05:35:01,05:35:11,Monumen Nasional,0,0,,,7241.530301,0
1-P28,11,G00038,05:38:02,05:38:12,Monumen Nasional,0,0,,,7861.447848,0
1-P28,12,G00039,05:40:54,05:41:04,Monumen Nasional,0,0,,,8447.660168,0
1-P28,13,G00753,05:44:31,05:44:41,Monumen Nasional,0,0,,,9196.478711,0
1-P28,14,G00751,05:46:37,05:46:47,Blok M,0,0,,,9616.214841,0
1-P28,15,G00040,05:50:51,05:51:01,Blok M,0,0,,,10497.987020,0
1-P28,16,G00036,05:53:06,05:53:16,Blok M,0,0,,,10951.627260,0
1-P28,17,G00031,05:56:00,05:56:10,Blok M,0,0,,,11544.319370,0
